Study_ID,First_author,Year_published,ES_ID,Common_species,Strain,Strain_notes,Sex,Housing,Notes_housing,Age_EE_exposure,Notes_age_EE_exposure,Age_stress_exposure,Notes_age_stress_exposure,Age_assay,Notes_age_assay,Type_EE_exposure,Type_EE_details,EE_exercise ,EE_social,Type_stress_exposure,Type_stress_details,Stress_duration,Notes_stress_duration,Exposure_order,Learning_vs_memory,Type_assay,Type_reinforcement,Response_assay_name,Response_details,Response_unit,Response_percent,Response_notes,Response_direction ,Data_location,CC_n,CC_mean,CC_median,CC_SD,CC_SE,CC_25thpercentile,CC_75thpercentile,EC_n,EC_mean,EC_median,EC_SD,EC_SE,EC_25thpercentile,EC_75thpercentile,CS_n,CS_mean,CS_median,CS_SD,CS_SE,CS_25thpercentile,CS_7thpercentile,ES_n,ES_mean,ES_median,ES_SD,ES_SE,ES_25thpercentile,ES_75thoercentile,Original_names,ROB_blinding,Blinding_notes,ROB_randomisation,Randomisation_notes,Analysis_unit,Unit_notes,Contact_author,Date_contacted,Author_response,General_comments,Stats_comments
15,Cordier,2021,45,Rat,Wistar,,2,3,"mixed sex for stress, single sex for EE",3,PND 21,2,,3,,5,"toys, wheel, climbing, novelty",1,1,6,,2,,1,2,2,2,Barnes maze,distance travelled,cm,no,,2,Fig. 2f,7.5,415.29,412.94,188.24,,289.41,543.53,7.5,256.47,261.18,99.35,,187.06,321.18,7.5,448.23,455.29,167.33,,331.76,557.65,7.5,387.06,377.65,486.86,177.78,271.76,511.76,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,mean and sd calculated from median and IQR (Wan et al 2014),
15,Cordier,2021,42,Rat,Wistar,,2,3,"mixed sex for stress, single sex for EE",3,PND 21,2,,3,,5,"toys, wheel, climbing, novelty",1,1,6,,2,,1,1,2,2,Barnes maze,number of errors,count,no,trial 3,2,Fig. 1b,7.5,9.46,9.11,3.28,,7.42,11.85,7.5,5.82,5.6,2.41,,4.3,7.55,7.5,14.41,15.1,9.26,,7.81,20.31,7.5,5.43,5.08,8.97,3.27,3.39,7.81,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,mean and sd calculated from median and IQR (Wan et al 2014),
15,Cordier,2021,44,Rat,Wistar,,2,3,"mixed sex for stress, single sex for EE",3,PND 21,2,,3,,5,"toys, wheel, climbing, novelty",1,1,6,,2,,1,2,2,2,Barnes maze,number of errors,count,no,,2,Fig. 2a,7.5,17.91,18.06,3.05,,15.77,19.89,7.5,14.94,15.09,4.4,,11.89,17.83,7.5,25.52,26.97,5.93,,20.8,28.8,7.5,12.54,11.89,14.18,5.18,9.37,16.36,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,mean and sd calculated from median and IQR (Wan et al 2014),
15,Cordier,2021,40,Rat,Wistar,,2,3,"mixed sex for stress, single sex for EE",3,PND 21,2,,3,,5,"toys, wheel, climbing, novelty",1,1,6,,2,,1,1,2,2,Barnes maze,latency to initiate search,sec,no,trial 3,2,Fig. 1c,7.5,3.4,3.05,1.92,,2.28,4.87,7.5,7.81,7.61,4.51,,4.87,10.96,7.5,6.04,5.03,4.74,,3.35,9.75,7.5,6.19,6.55,9.6,3.5,3.65,8.38,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,mean and sd calculated from median and IQR (Wan et al 2014),
15,Cordier,2021,41,Rat,Wistar,,2,3,"mixed sex for stress, single sex for EE",3,PND 21,2,,3,,5,"toys, wheel, climbing, novelty",1,1,6,,2,,1,1,2,2,Barnes maze,latency to locate escape hole,sec,no,trial 3,2,Fig. 1a,7.5,90.5,91.19,19.96,,76.68,103.63,7.5,67.01,68.39,15.35,,55.96,76.68,7.5,61.48,43.52,58.33,,31.09,109.84,7.5,31.78,35.23,37.83,13.81,20.73,39.38,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,mean and sd calculated from median and IQR (Wan et al 2014),
15,Cordier,2021,43,Rat,Wistar,,2,3,"mixed sex for stress, single sex for EE",3,PND 21,2,,3,,5,"toys, wheel, climbing, novelty",1,1,6,,2,,1,2,2,2,Barnes maze,time in training quadrant,sec,no,,1,Fig. 2b,7.5,22.03,22.03,1.14,,21.26,22.8,7.5,38,36.33,11.73,,30.92,46.76,7.5,35.17,35.17,13.74,,25.89,44.44,7.5,53.88,54.85,39.31,14.36,43.71,63.09,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,mean and sd calculated from median and IQR (Wan et al 2014),
15,Cordier,2021,46,Rat,Wistar,,2,3,"mixed sex for stress, single sex for EE",3,PND 21,2,,3,,5,"toys, wheel, climbing, novelty",1,1,6,,2,,1,2,2,2,Barnes maze,latency to escape,sec,no,,2,Fig. 2c,7.5,75.38,77.39,18.61,,61.81,86.93,7.5,33,34.67,8.93,,26.13,38.19,7.5,52.43,51.26,10.05,,46.23,59.8,7.5,18.59,15.08,33.63,12.28,12.06,28.64,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,mean and sd calculated from median and IQR (Wan et al 2014),
6,Cui,2006,9,Rat,Unknown,contaced authors re strain,2,3,,3,PND 22-52,2,PND 2 - 21,2,PND 53 - 57,5,"multilevel, toys, running wheel",1,2,9,nesting material,2,,1,1,2,2,Morris water maze,Escape latency,sec,no,Taken after 16 trials,2,Fig. 1a,8,18.69,,5.854844148,2.07,,,8,16.61,,7.042783541,2.49,,,8,27.82,,12.84105915,4.54,,,8,13.29,,7.042783541,2.49,,,"CC = ctr, EC = ctr + EE, CS = str, ES = str + EE",3,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,asked what strain of rat was used,24/06/2021,Did not respond,,
6,Cui,2006,10,Rat,Unknown,contaced authors re strain,2,3,,3,PND 22-52,2,PND 2 - 21,2,PND 53 - 57,5,"multilevel, toys, running wheel",1,2,9,nesting material,2,,1,2,2,2,Morris water maze,Time on target quadrant,sec,no,,1,Fig. 1b,8,52.94,,38.49489317,13.61,,,8,74.5,,17.1119841,6.05,,,8,9.93,,33.9411255,12,,,8,55.97,,42.76581813,15.12,,,"CC = ctr, EC = ctr + EE, CS = str, ES = str + EE",3,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,asked what strain of rat was used,24/06/2021,Did not respond,,
16,Dandi,2018,50,Rat,Wistar,,3,2,same gender pairs,3,PND23,2,,3,,5,"toys, wheel, tunnel, novelty",1,1,6,,2,,1,2,2,2,Morris water maze,Entries to target quadrant,count,no,,1,Fig. 5b,10,3.3,,1.45,0.46,,,13,2.85,,1.35,0.39,,,12,1.33,,1.18,0.34,,,12,2.49,,1.28,0.37,,,"CC = NMS + Sh, EC  = NMS + EE, CS = MS + Sh, ES = MS + EE",1,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
16,Dandi,2018,47,Rat,Wistar,,3,2,same gender pairs,3,PND23,2,,3,,5,"toys, wheel, tunnel, novelty",1,1,6,,2,,1,2,3,3,Novel object recognition,Discirimination ratio,percent,yes,,1,Fig. 3,10,66.91,,17.17,5.43,,,13,78.45,,19.61,5.44,,,12,75.57,,12.92,3.73,,,12,76.08,,9.39,2.71,,,"CC = NMS + Sh, EC  = NMS + EE, CS = MS + Sh, ES = MS + EE",1,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
16,Dandi,2018,48,Rat,Wistar,,3,2,same gender pairs,3,PND23,2,,3,,5,"toys, wheel, tunnel, novelty",1,1,6,,2,,1,1,2,2,Morris water maze,Latency to find platform,sec,no,Trial 4,2,Fig. 4,10,12.67,,6.8,2.15,,,13,10.04,,4.95,1.43,,,12,17.93,,5.79,1.67,,,12,9.56,,6.62,1.91,,,"CC = NMS + Sh, EC  = NMS + EE, CS = MS + Sh, ES = MS + EE",1,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
16,Dandi,2018,49,Rat,Wistar,,3,2,same gender pairs,3,PND23,2,,3,,5,"toys, wheel, tunnel, novelty",1,1,6,,2,,1,2,2,2,Morris water maze,Time spent in target quadrant,sec,no,,1,Fig. 5a,10,23.43,,5.28,1.67,,,13,21.26,,3.29,0.95,,,12,17.57,,3.74,1.08,,,12,21.39,,3.33,0.96,,,"CC = NMS + Sh, EC  = NMS + EE, CS = MS + Sh, ES = MS + EE",1,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
17,do Prado,2016,51,Rat,Sprague-Dawley,,2,5,"pair housed for EE, group housed for control",3,PND 21,2,,2,PND 36,5,"toys, bedding ",2,1,6,,2,,1,2,2,1,8 arm radial maze,number of errors,count,no,male,2,Fig. 2b,9,1.48,,0.81,0.27,,,9,1.72,,1.47,0.49,,,9,3.28,,2.34,0.78,,,9,1.63,,1.65,0.55,,,"CC = Con + NE, EC = Con + EE, CS = MS + NE, ES = MS + EE",3,,3,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
17,do Prado,2016,52,Rat,Sprague-Dawley,,1,5,"pair housed for EE, group housed for control",3,PND 21,2,,2,PND 36,5,"toys, bedding ",2,1,6,,2,,1,2,2,1,8 arm radial maze,number of errors,count,no,female,2,Fig. 2b,9,2.02,,1.65,0.55,,,9,2.2,,1.71,0.57,,,9,3.02,,1.35,0.45,,,9,1.57,,0.96,0.32,,,"CC = Con + NE, EC = Con + EE, CS = MS + NE, ES = MS + EE",3,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
19,Gaun,2021,56,Rat,Wistar,,3,3,,3,PND 21,1,,2,PND 50,5,"objects, wheel. Complexity",1,1,10,CUMS,2,,1,2,2,2,Morris water maze,Number of platform crossing,count,no,,1,Fig. 5b,16,7.37,,1.91,,,,16,9.01,,2.17,,,,16,4.93,,2.18,,,,16,8.82,,2.36,,,,"CC = OPC, EC = OPC + EE, CS = OPS, ES = OPS + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
19,Gaun,2021,57,Rat,Wistar,,3,3,,3,PND 21,1,,2,PND 50,5,"objects, wheel. Complexity",1,1,10,CUMS,2,,1,1,3,3,y-maze novel arm ,Number of required training,count,no,,2,Fig. 6a,16,19.77,,2.42,,,,16,16.91,,5.28,,,,16,29.43,,4.53,,,,16,20.53,,6.2,,,,"CC = OPC, EC = OPC + EE, CS = OPS, ES = OPS + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
19,Gaun,2021,58,Rat,Wistar,,3,3,,3,PND 21,1,,2,PND 50,5,"objects, wheel. Complexity",1,1,10,CUMS,2,,1,2,3,3,y-maze novel arm ,Rate of correct responeses,rate,no,,1,Fig. 6b,16,0.83,,0.21,,,,16,0.98,,0.24,,,,16,0.55,,0.28,,,,16,0.86,,0.28,,,,"CC = OPC, EC = OPC + EE, CS = OPS, ES = OPS + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
19,Gaun,2021,55,Rat,Wistar,,3,3,,3,PND 21,1,,2,PND 50,5,"objects, wheel. Complexity",1,1,10,CUMS,2,,1,1,2,2,Morris water maze,Escape latency,sec,no,Day 5,2,Fig. 5a,16,22.38,,3.76,,,,16,27.13,,6.73,,,,16,30.3,,3.56,,,,16,20,,3.17,,,,"CC = OPC, EC = OPC + EE, CS = OPS, ES = OPS + EE",3,,1,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
18,Gonzales-Pardo ,2019,54,Rat,Wistar,,2,3,,3,PND 21,2,,3,,5,"objects, bedding, wheel",1,1,6,,2,,1,2,2,2,Morris water maze,Percent time in target quadrant,percent,yes,,1,Raw data,10,33.3,,3.86,,,,10,37.2,,2.97,,,,10,32.5,,1.9,,,,10,39.4,,4.14,,,,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,mention blinding but only for one of the behaviours,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
18,Gonzales-Pardo ,2019,53,Rat,Wistar,,2,3,,3,PND 21,2,,3,,5,"objects, bedding, wheel",1,1,6,,2,,1,1,2,2,Morris water maze,Escape latency,sec,no,Day 4,2,Raw data,10,20.62,,9.36,,,,10,12.77,,5.32,,,,10,17.97,,8.41,,,,10,12.87,,8.38,,,,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,mention blinding but only for one of the behaviours,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
31,Grace,2009,95,Rat,Sprague-Dawley,,2,6,,3,PND 29,2,,2,PND 50 -54,4,Wheel,1,2,6,,2,,1,1,2,2,Morris water maze,Time to find platform,sec,no,,2,Fig. 3,13,39.78,,21.16458599,5.87,,,11,22.5,,8.656390703,2.61,,,11,38.15,,7.561904522,2.28,,,10,24.13,,9.297096321,2.94,,,"CC = nMSnR, EC = nMSR, CS = MSnR, ES = MSR",3,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,Try contact authors re raw data of non-sig effects,29/06/2021,retired and data 'destroyed',also states that other responses were measured and no differences were found. ,
31,Grace,2009,96,Rat,Sprague-Dawley,,2,6,,3,PND 29,2,,2,PND 50 -54,4,Wheel,1,2,6,,2,,1,2,3,3,Temporal object recognition,time exploring object,sec,no, Took difference between first and second phase. SD calculated as SD^2[1] + SD^2[2] - 2*0.5SD[1]SD[2] where 0.5 = correlation,2,Fig. 5,13,4.03,,5.467971,"1.73, 1.1",,,11,7.08,,6.500585,"2.24, 1.04",,,11,5.53,,5.525043,"1.9, 1.21",,,10,4.77,,7.09387,"2.59, 1.26",,,"CC = nMSnR, EC = nMSR, CS = MSnR, ES = MSR",3,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,29/06/2021,retired and data 'destroyed',,
20,Hui,2011,59,Rat,Sprague-Dawley,,3,3,,3,PND 21,2,,3,PND 61,5,"objects, wheel",1,1,6,,2,,1,1,2,2,Morris water maze,Latency to platform,sec,no,,2,Fig. 4a,13,32,,8.8,,,,13,26.8,,5.2,,,,13,54,,9.2,,,,13,18,,4.8,,,,"CC = NMS, EC = NMS + EE, CS = MS, ES = MS + EE",1,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
20,Hui,2011,60,Rat,Sprague-Dawley,,3,3,,3,PND 21,2,,3,PND 61,5,"objects, wheel",1,1,6,,2,,1,2,2,2,Morris water maze,Time in target quadrant,sec,no,Trial 4,1,Fig. 4b,13,59,,6.91,,,,13,64.05,,9.04,,,,13,45.71,,6.65,,,,13,62.72,,5.85,,,,"CC = NMS, EC = NMS + EE, CS = MS, ES = MS + EE",1,,1,,1,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
21,Lui,2011,62,Rat,Sprague-Dawley,,2,3,,3,PND 22,1,,3,,5,"objects ,wheel, size",1,1,6,,2,,1,2,2,2,Morris water maze,Percent time in target quadrant,percent,yes,,1,In text page 436,5,32,,4.7,2.1,,,5,34.06,,7.6,3.4,,,5,28.3,,3.58,1.6,,,5,34.1,,4.92,2.2,,,"CC = PC/SE, EC = PC/EE, CS = PS/SE, ES = PS/EE",3,,3,only mentioned that stress treatment was random,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
21,Lui,2011,61,Rat,Sprague-Dawley,,2,3,,3,PND 22,1,,3,,5,"objects ,wheel, size",1,1,6,,2,,1,1,2,2,Morris water maze,Escape latency,sec,no,Day 4,2,Fig. 1,5,14.71,,9.97,4.46,,,5,15.01,,6.31,2.82,,,5,17.83,,7.65,3.42,,,5,11,,4.65,2.08,,,"CC = PC/SE, EC = PC/EE, CS = PS/SE, ES = PS/EE",3,,3,only mentioned that stress treatment was random,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
7,Menezes,2020,13,Rat,Wistar,,2,3,,3,"Mixed adolescent and adult (21 - 80), but mostly adolescence",2,PND 1-10,3,PND 81,2,objects,2,2,6,,2,,1,2,2,3,Novel object ,Percent time exploring novel object relative to nonnovel after 3h,percent,yes,Only used grey bars (novel objects),1,Fig. 2a,9.5,62.3,,26.97,8.75,,,9.5,75.96,,11.77,3.82,,,9.5,55.19,,28.63,9.29,,,9.5,67.76,,20.22,6.56,,,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,n taken as averge of range,
7,Menezes,2020,14,Rat,Wistar,,2,3,,3,"Mixed adolescent and adult (21 - 80), but mostly adolescence",2,PND 1-10,3,PND 81,2,objects,2,2,6,,2,,1,2,2,3,Novel object ,Percent time exploring novel object relative to nonnovel after 24h,percent,yes,Only used grey bars (novel objects),1,Fig. 2b,9.5,56.59,,10.17,3.3,,,9.5,58.79,,27.09,8.79,,,9.5,54.95,,55.88,18.13,,,9.5,65.93,,44.04,14.29,,,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,n taken as averge of range,
7,Menezes,2020,19,Rat,Wistar,,2,3,,3,"Mixed adolescent and adult (21 - 80), but mostly adolescence",2,PND 1-10,3,PND 81,2,objects,2,2,6,,2,,1,1,2,2,Morris water maze - cognitive flexibility ,percent time in reversed quadrant,percent,yes,Only used blac bars (reversed quadrant),1,Fig. 1c,9,30.3,,18.18,6.06,,,9,34.24,,9.09,3.03,,,9,25.45,,8.19,2.73,,,9,35.76,,5.46,1.82,,,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
7,Menezes,2020,11,Rat,Wistar,,2,3,,3,"Mixed adolescent and adult (21 - 80), but mostly adolescence",2,PND 1-10,3,PND 81,2,objects,2,2,6,,2,,1,2,3,3,Novel object ,time exporing novel object 3h later,sec,no,,1,Table 1,9.5,33,,9.986350685,3.24,,,9.5,32.14,,12.39047215,4.02,,,9.5,26.78,,7.243186453,2.35,,,9.5,23.92,,5.054819482,1.64,,,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,n taken as averge of range,
7,Menezes,2020,12,Rat,Wistar,,2,3,,3,"Mixed adolescent and adult (21 - 80), but mostly adolescence",2,PND 1-10,3,PND 81,2,objects,2,2,6,,2,,1,2,3,3,Novel object ,time exporing novel object 24h later,sec,no,,1,Table 1,9.5,28.5,,22.5,7.3,,,9.5,19.86,,12.51,4.06,,,9.5,22.78,,7.92,2.57,,,9.5,35.67,,13.93,4.52,,,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,n taken as averge of range,
7,Menezes,2020,15,Rat,Wistar,,2,3,,3,"Mixed adolescent and adult (21 - 80), but mostly adolescence",2,PND 1-10,3,PND 81,2,objects,2,2,6,,2,,1,2,2,2,Inhibitory avoidance,latency to step onto platform after 3h,sec,no,Only used test section,1,Fig. 3a,10,84.75,,110.62,34.98,,,10,84.75,,123.39,39.02,,,10,141.26,,136.1,43.04,,,10,104.93,,85.1,26.91,,,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
7,Menezes,2020,16,Rat,Wistar,,2,3,,3,"Mixed adolescent and adult (21 - 80), but mostly adolescence",2,PND 1-10,3,PND 81,2,objects,2,2,6,,2,,1,2,2,2,Inhibitory avoidance,latency to step onto platform after 24h,sec,no,Only used test section,1,Fig. 3b,10,149.33,,170.16,53.81,,,10,80.72,,93.57,29.59,,,10,20.18,,21.28,6.73,,,10,83.41,,85.07,26.9,,,"CC = control, EC = EE, CS = MD, ES = MD + EE",1,,3,,3,Doesn’t clearly state if cage was controlled for in design or analysis,,,,,
